time (s), lifter (1cm), left pedal pos (1cm), left slider pos (1cm), right pedal pos (1cm), right slider pos (1cm), stock left extend pos (1cm), stock left slider pos (1cm), stock right extend pos (10cm), stock right slider pos (1cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
19.1,1.33075,0,0,0,0,14.2,10.045,3.35,-2.992,0,0,0,0,0,0,0,0,0
19.2,0.70625,0,0,0,0,14.057,12.319,3.029,-4.534,0,0,0,0,0,0,0,0,0
19.3,0.31075,0,0,0,0,13.511,14.745,2.653,-6.424,0,0,0,0,0,0,0,0,0
19.4,0.20075,0,0,0,0,12.472,16.906,2.268,-8.386,0,0,0,0,0,0,0,0,0
19.5,0.1995,0,0,0,0,11.15,17.904,2.048,-9.511,0,0,0,0,0,0,0,0,0
19.6,0.20025,0,0,0,0,9.465,18.563,1.836,-10.631,0,0,0,0,0,0,0,0,0
19.7,0.2,0,0,0,0,7.998,18.7,1.623,-11.943,0,0,0,0,0,0,0,0,0
19.8,0.8435,0,0,0,0,7.989,18.672,1.538,-12.222,0,0,0,0,0,0,0,0,0
19.9,1.698,0,0,0,0,7.872,18.226,1.51,-12.395,0,0,0,0,0,0,0,0,0
20,2.78225,0,0,0,0,7.479,16.472,1.499,-12.499,0,0,0,0,0,0,0,0,0
20.1,3.57575,0,0,0,0,6.83,13.176,3.044,-11.909,0,0,0,0,0,0,0,0,0
20.2,4.0315,0,0,0,0,6.235,10.003,6.51,-9.218,0,0,0,0,0,0,0,0,0
20.3,4.1995,0,0,0,0,5.602,6.722,9.891001,-3.664,0,0,0,0,0,0,0,0,0
20.4,3.969,0,0,0,0,4.986,3.712,12.304,0.727,0,0,0,0,0,0,0,0,0
20.5,2.84325,0,0,0,0,4.397,0.772,13.828,5.386,0,0,0,0,0,0,0,0,0
20.6,1.839,0,0,0,0,3.912,-1.547,14.199,8.712999,0,0,0,0,0,0,0,0,0
20.7,1.108,0,0,0,0,3.454,-3.778,14.094,11.818,0,0,0,0,0,0,0,0,0
20.8,0.6615,0,0,0,0,3.049,-5.752,13.592,14.316,0,0,0,0,0,0,0,0,0
20.9,0.5,0,0,0,0,2.678,-7.632,12.487,16.845,0,0,0,0,0,0,0,0,0
21,0.5,0,0,0,0,2.399,-8.981,11.389,17.645,0,0,0,0,0,0,0,0,0
21.1,0.50025,0,0,0,0,2.154,-10.193,9.686,18.451,0,0,0,0,0,0,0,0,0
21.2,0.50025,0,0,0,0,1.961,-11.147,7.954,18.699,0,0,0,0,0,0,0,0,0
21.3,0.90525,0,0,0,0,1.804,-11.96,7.986,18.646,0,0,0,0,0,0,0,0,0
21.4,1.962,0,0,0,0,1.734,-12.307,7.812,17.984,0,0,0,0,0,0,0,0,0
21.5,3.05125,0,0,0,0,1.701,-12.496,7.359,15.933,0,0,0,0,0,0,0,0,0
21.6,3.8455,0,0,0,0,2.432,-12.271,6.706,12.534,0,0,0,0,0,0,0,0,0
21.7,4.32225,0,0,0,0,6.01,-9.808001,6.078,9.073999,0,0,0,0,0,0,0,0,0
21.8,4.49875,0,0,0,0,9.575,-4.869,5.462,6.026,0,0,0,0,0,0,0,0,0
21.9,4.39975,0,0,0,0,12.188,0.055,4.857,3.067,0,0,0,0,0,0,0,0,0
22,3.35425,0,0,0,0,13.889,4.772,4.243,-0.006,0,0,0,0,0,0,0,0,0
22.1,2.29575,0,0,0,0,14.485,8.212,3.803,-2.083,0,0,0,0,0,0,0,0,0
22.2,1.4835,0,0,0,0,14.463,11.409,3.361,-4.245,0,0,0,0,0,0,0,0,0
22.3,0.95675,0,0,0,0,14.063,14.084,2.953,-6.246,0,0,0,0,0,0,0,0,0
22.4,0.71725,0,0,0,0,13.297,16.102,2.613,-7.969,0,0,0,0,0,0,0,0,0
22.5,0.6995,0,0,0,0,12.114,17.517,2.338,-9.271,0,0,0,0,0,0,0,0,0
22.6,0.70025,0,0,0,0,10.529,18.403,2.105,-10.442,0,0,0,0,0,0,0,0,0
22.7,0.69975,0,0,0,0,8.649,18.699,1.925,-11.327,0,0,0,0,0,0,0,0,0
22.8,1.0735,0,0,0,0,8.191999,18.667,1.752,-12.214,0,0,0,0,0,0,0,0,0
22.9,1.7845,0,0,0,0,8.108,18.343,1.724,-12.355,0,0,0,0,0,0,0,0,0
23,2.94925,0,0,0,0,7.752,16.731,1.701,-12.497,0,0,0,0,0,0,0,0,0
23.1,3.9155,0,0,0,0,7.064,13.219,2.29,-12.319,0,0,0,0,0,0,0,0,0
23.2,4.406,0,0,0,0,6.525,10.38,5.168,-10.668,0,0,0,0,0,0,0,0,0
23.3,4.67725,0,0,0,0,5.892,7.078,8.88,-6.095,0,0,0,0,0,0,0,0,0
23.4,4.68175,0,0,0,0,5.248,3.805,11.938,-0.381,0,0,0,0,0,0,0,0,0
23.5,3.842,0,0,0,0,4.713,1.249,13.543,3.457,0,0,0,0,0,0,0,0,0
23.6,2.737,0,0,0,0,4.204,-1.272,14.422,7.384,0,0,0,0,0,0,0,0,0
23.7,1.8765,0,0,0,0,3.73,-3.693,14.488,11.094,0,0,0,0,0,0,0,0,0
23.8,1.31475,0,0,0,0,3.343,-5.558,14.215,13.429,0,0,0,0,0,0,0,0,0
23.9,1.0335,0,0,0,0,2.991,-7.324,13.532,15.617,0,0,0,0,0,0,0,0,0
24,1,0,0,0,0,2.694,-8.828,12.451,17.19,0,0,0,0,0,0,0,0,0
24.1,0.99975,0,0,0,0,2.449,-10.069,10.978,18.214,0,0,0,0,0,0,0,0,0
24.2,0.99975,0,0,0,0,2.249,-11.123,8.884,18.691,0,0,0,0,0,0,0,0,0
24.3,1.06275,0,0,0,0,2.046,-12.196,8.188,18.672,0,0,0,0,0,0,0,0,0
24.4,1.743,0,0,0,0,2.029,-12.291,8.154,18.569,0,0,0,0,0,0,0,0,0
24.5,2.93025,0,0,0,0,2.001,-12.487,7.882,17.492,0,0,0,0,0,0,0,0,0
24.6,4.054,0,0,0,0,2.162,-12.491,7.093,13.714,0,0,0,0,0,0,0,0,0
24.7,4.572,0,0,0,0,4.046,-11.68,6.7,11.628,0,0,0,0,0,0,0,0,0
24.8,4.9335,0,0,0,0,7.959,-7.959,6.048,8.129,0,0,0,0,0,0,0,0,0
